id,machine_type,facility_zone,shift,sensor_model,maintenance_strategy,load_pct,rpm,power_kw,voltage_v,power_factor,vibration_mm_s,oil_pressure_bar,coolant_temp_c,bearing_temp_c,operating_hours,days_since_maintenance,anomaly_count_7d,sensor_uptime_pct,machine_state
74,pump,packaging,day,S3,preventive,56.93,2050.7,51.89,399.17,0.9059,1.68,5.941,65.23,70.19,15812.6,38.25,0,98.701,1
75,pump,assembly,day,S1,reactive,47.52,1627.7,36.79,401.54,0.8895,3.125,5.029,81.65,94.81,16732.2,60.9,2,98.465,1
76,compressor,cold_storage,day,S1,predictive,69.79,3217.6,99.68,390.45,0.8965,3.006,5.81,80.4,89.04,13024.6,67.9,1,98.565,1
77,compressor,packaging,day,S3,reactive,82.73,3113.1,113.15,414.69,0.907,2.616,6.142,92.31,101.17,24487.4,5.29,1,99.322,3
78,turbine,packaging,evening,S1,predictive,90.93,5519.7,260.54,369.68,0.7678,3.492,6.432,95.77,100.83,32707.6,7.78,1,98.003,2
79,pump,assembly,night,S3,preventive,39.61,1899.0,27.07,413.82,0.9353,1.677,5.435,60.28,63.06,9422.6,6.84,0,99.465,1
80,conveyor,processing,night,S2,predictive,73.3,1103.8,72.9,399.86,0.9142,2.573,4.601,97.18,104.53,16833.2,29.2,0,99.868,2
81,mixer,processing,night,S2,preventive,69.68,1590.7,93.37,399.54,0.99,1.688,6.067,80.41,85.32,14741.7,10.05,0,100.0,1
82,conveyor,packaging,evening,S2,predictive,50.85,924.5,38.32,410.74,0.9043,2.459,5.308,83.43,91.46,7216.5,36.63,0,99.288,2
83,mixer,utilities,night,S2,predictive,73.38,1647.8,129.05,413.21,0.8859,2.594,5.285,77.73,88.61,11275.9,56.02,0,98.786,1
84,pump,packaging,night,S3,preventive,78.15,2160.6,52.22,391.0,0.9154,2.211,5.741,83.85,89.81,16093.8,68.87,1,99.78,1
85,pump,utilities,day,S1,preventive,84.04,2335.5,71.96,403.98,0.9099,3.744,5.025,88.61,101.72,45795.7,92.28,0,99.299,2
86,turbine,processing,day,S2,predictive,54.27,3802.4,154.93,399.27,0.9064,2.242,5.169,84.13,87.54,10292.2,54.61,0,98.651,1
87,pump,utilities,night,S2,reactive,53.04,2090.1,42.75,418.08,0.9547,2.773,5.342,62.16,77.71,11609.9,68.06,0,99.94,1
88,mixer,packaging,day,S3,reactive,63.16,1548.6,111.25,385.72,0.903,2.528,5.778,75.71,81.42,20100.3,79.28,0,99.729,1
89,mixer,processing,day,S3,preventive,48.11,1506.1,86.33,389.32,0.9245,2.61,4.629,84.28,92.75,27919.0,1.8,3,98.87,2
90,turbine,assembly,day,S2,preventive,104.36,6191.2,371.36,405.49,0.8858,3.594,6.218,92.71,103.28,18252.2,19.18,0,99.135,2
91,conveyor,utilities,night,S4,reactive,55.78,943.9,44.67,398.19,0.8891,1.624,5.045,72.45,83.63,9788.2,24.37,0,98.225,1
92,pump,packaging,night,S1,preventive,59.83,1831.9,45.41,393.38,0.9676,1.799,4.948,87.05,92.59,11558.0,28.78,0,99.612,1
93,pump,processing,evening,S2,predictive,88.11,2326.6,65.22,392.72,0.8863,3.328,5.1,96.29,105.53,19440.3,100.13,1,98.658,1
94,conveyor,assembly,evening,S2,preventive,47.8,828.7,34.66,409.75,0.9779,2.149,4.426,69.6,70.21,11814.7,24.24,1,99.456,1
95,conveyor,assembly,evening,S1,preventive,42.72,884.5,37.85,404.29,0.8859,3.604,5.016,78.97,87.56,49935.3,48.33,0,98.295,1
96,pump,packaging,night,S3,reactive,41.96,1558.7,27.39,400.56,0.8944,3.461,5.477,66.66,73.63,3741.8,55.35,1,99.343,1
97,compressor,processing,evening,S3,preventive,87.91,3232.1,102.98,382.5,0.9127,3.089,5.426,95.09,101.74,8036.0,25.09,1,98.886,3
98,conveyor,cold_storage,night,S3,preventive,53.5,941.0,52.25,384.01,0.925,3.043,5.238,88.73,97.56,23626.8,54.21,3,98.915,2
99,pump,cold_storage,night,S1,preventive,58.62,2070.9,46.47,391.37,0.9084,3.123,5.304,66.35,68.26,13216.8,42.72,0,98.598,1
100,conveyor,processing,day,S3,preventive,62.53,902.2,44.61,408.35,0.8757,2.573,5.417,73.8,78.63,10934.5,99.8,0,99.097,1
101,turbine,packaging,day,S3,reactive,84.38,5035.1,267.87,397.65,0.9294,3.282,5.633,89.5,99.3,13348.0,81.42,0,98.423,1
102,conveyor,processing,evening,S2,predictive,86.38,1051.4,65.45,389.66,0.9289,2.069,4.862,95.05,105.09,11812.4,7.36,1,98.566,2
103,pump,processing,evening,S2,preventive,96.36,2604.8,82.6,394.09,0.8872,2.543,5.322,89.86,100.0,12244.8,58.93,2,99.251,2
104,mixer,processing,evening,S2,predictive,73.96,1684.2,113.21,389.32,0.9053,2.365,5.203,83.79,94.46,4426.6,79.91,1,98.847,2
105,compressor,assembly,day,S2,predictive,77.5,3433.9,134.41,405.13,0.9373,1.527,5.829,86.99,90.18,9748.2,6.31,0,98.636,1
106,mixer,packaging,evening,S3,reactive,84.49,1918.4,162.93,410.12,0.9222,4.698,3.723,91.27,98.34,32459.4,63.16,0,100.0,3
107,turbine,packaging,day,S1,preventive,70.34,5010.1,227.75,407.58,0.9032,2.56,6.13,78.48,89.92,19175.7,40.14,0,99.786,1
108,mixer,processing,day,S1,predictive,66.22,1343.6,95.79,393.28,0.9317,2.855,5.095,85.1,92.06,14111.4,39.54,1,98.735,2
109,pump,processing,night,S2,reactive,89.99,2262.5,67.23,379.43,0.9012,1.932,5.017,88.18,94.19,4970.6,33.11,1,99.938,1
110,turbine,processing,night,S1,preventive,71.06,4604.2,198.24,404.97,0.9185,2.538,6.23,80.54,83.58,19747.5,10.99,3,98.787,1
111,conveyor,assembly,night,S3,predictive,59.27,967.4,51.06,401.11,0.9495,2.228,5.221,77.27,87.22,10802.1,6.95,0,98.296,2
112,compressor,processing,day,S4,preventive,68.15,2740.0,92.43,421.55,0.9131,3.067,6.042,89.04,96.86,24180.9,32.22,1,100.0,2
113,turbine,assembly,night,S3,predictive,82.86,4592.5,232.37,412.39,0.9053,2.962,6.012,90.14,100.56,14916.7,24.07,1,98.289,1
114,compressor,assembly,day,S1,reactive,83.9,3232.1,150.68,398.31,0.8803,3.936,4.989,94.38,101.46,11001.4,95.74,1,97.824,2
115,compressor,processing,day,S3,predictive,75.15,2801.3,89.78,401.94,0.9052,2.14,5.812,78.7,81.09,29305.4,31.17,0,98.586,1
116,compressor,packaging,day,S4,reactive,63.99,2929.0,93.74,398.02,0.8635,3.078,6.009,84.19,92.77,13602.7,113.48,0,97.93,1
117,compressor,packaging,day,S4,reactive,37.6,2275.6,59.29,400.13,0.9298,4.271,4.599,78.76,84.08,6594.7,234.21,1,98.854,3
118,pump,processing,evening,S4,predictive,70.95,2377.1,65.84,401.5,0.9137,2.554,5.45,95.68,105.16,4139.4,52.34,1,98.918,1
119,conveyor,packaging,evening,S2,reactive,62.99,1024.2,46.93,404.65,0.8904,1.588,4.826,78.8,86.71,5489.8,60.69,0,98.234,1
120,compressor,packaging,night,S1,preventive,66.3,2907.8,79.98,401.5,0.8986,2.0,5.689,77.76,87.75,12181.4,23.56,2,98.307,1
121,conveyor,assembly,day,S2,predictive,58.43,944.6,41.82,402.5,0.8892,2.441,4.574,77.11,86.27,11421.6,33.98,0,99.051,1
122,turbine,cold_storage,day,S3,preventive,68.98,4418.2,176.27,396.05,0.8943,1.863,6.446,83.19,92.1,6116.2,33.96,0,98.23,1
123,turbine,cold_storage,evening,S1,preventive,89.29,5996.9,304.67,395.05,0.8648,2.521,5.947,98.13,106.28,6818.6,23.13,0,98.93,1
124,compressor,assembly,day,S2,preventive,48.39,2762.4,76.55,397.15,0.9548,2.641,5.888,80.16,91.23,14544.5,17.52,0,100.0,1
125,mixer,assembly,evening,S2,preventive,56.44,1254.7,72.01,420.64,0.927,2.841,5.225,81.13,90.65,17837.0,61.9,2,99.049,1
126,mixer,utilities,night,S2,preventive,60.21,1504.5,92.86,408.07,0.9051,3.182,5.102,101.83,105.25,9609.4,66.18,1,98.582,2
127,mixer,packaging,day,S3,preventive,65.43,1415.4,85.16,404.81,0.948,2.631,5.409,79.38,92.63,12512.9,19.97,2,98.501,1
128,pump,utilities,day,S1,preventive,86.98,2566.4,64.56,395.52,0.9093,2.933,6.008,95.09,,2860.4,55.89,0,98.628,1
129,turbine,utilities,evening,S2,reactive,65.38,4886.3,175.51,366.08,0.8494,3.412,5.697,84.62,93.76,28999.9,119.35,1,99.149,1
130,pump,packaging,evening,S1,preventive,36.23,1736.7,32.77,385.37,0.8728,1.914,5.803,72.28,82.46,4947.4,52.01,0,98.556,1
131,compressor,utilities,day,S2,preventive,85.77,3428.1,140.87,401.39,0.9053,2.73,5.953,91.41,99.16,14559.7,53.63,2,97.937,2
132,pump,assembly,evening,S3,preventive,62.66,2029.5,46.12,393.62,0.9695,2.132,5.687,82.22,91.03,28006.4,44.61,1,100.0,1
133,compressor,packaging,night,S2,reactive,52.23,2842.8,94.27,402.05,0.947,2.897,5.881,75.12,84.47,16251.9,132.32,0,98.493,1
134,mixer,assembly,night,S4,preventive,43.51,1353.6,72.07,399.1,0.9359,3.147,4.799,70.51,78.6,14331.0,47.49,0,99.233,2
135,compressor,packaging,day,S2,preventive,91.24,3197.3,140.75,405.37,0.9256,3.129,6.138,91.28,98.71,8140.2,63.55,1,98.689,2
136,pump,assembly,day,S2,preventive,75.37,2378.0,69.29,394.26,0.8839,3.083,4.952,82.33,88.33,28211.5,65.11,1,97.865,1
137,conveyor,assembly,night,S3,reactive,50.42,919.3,32.72,398.85,0.777,3.333,4.486,79.34,96.03,22742.2,79.75,0,99.219,1
138,compressor,packaging,evening,S3,preventive,63.74,2621.1,69.99,409.14,0.9592,2.548,6.39,77.25,90.19,15727.3,48.63,0,97.901,1
139,pump,processing,evening,S4,reactive,63.62,1765.2,39.75,376.6,0.8676,3.191,4.836,81.06,92.72,21150.6,92.19,2,98.604,1
140,mixer,utilities,day,S3,predictive,64.61,1465.3,95.85,396.38,0.9374,2.387,5.041,84.8,96.27,10954.6,36.66,0,98.624,2
141,mixer,utilities,day,S3,predictive,80.57,1637.8,136.78,395.08,0.9351,2.759,4.84,81.12,90.67,22871.4,4.87,0,99.485,1
142,pump,packaging,evening,S1,preventive,65.21,2110.0,50.56,407.86,,2.014,,80.09,86.1,12836.3,34.34,0,97.84,1
143,compressor,packaging,day,S2,preventive,87.11,3401.4,143.7,400.59,0.8729,3.383,5.663,86.08,98.61,12016.5,33.83,2,98.368,2
144,compressor,cold_storage,day,S2,preventive,86.28,3177.5,134.37,398.15,0.8902,2.958,5.953,89.59,96.1,6805.0,63.87,0,100.0,3
145,mixer,packaging,night,S3,predictive,57.25,1383.5,85.16,384.5,0.9056,1.935,5.597,89.15,96.11,21115.0,21.02,0,99.605,1
146,pump,processing,night,S1,reactive,55.48,2038.5,46.52,383.94,0.9353,2.566,4.514,78.48,87.86,16212.0,49.52,0,98.02,2
147,conveyor,packaging,day,S3,predictive,54.81,863.9,41.53,404.91,0.8753,2.205,4.987,77.13,79.3,15175.2,32.78,2,98.988,1
148,compressor,cold_storage,day,S2,preventive,48.6,2371.6,56.58,394.66,0.9534,4.728,5.559,74.34,91.71,24143.6,11.02,1,99.443,2
149,turbine,packaging,day,S3,reactive,48.82,3505.9,127.06,387.83,0.8154,1.968,5.564,67.48,75.42,8377.6,34.53,2,99.044,1
150,pump,assembly,day,S1,preventive,72.2,2171.9,59.73,396.57,0.9045,3.134,5.399,92.6,95.76,26656.6,74.19,1,98.415,2
151,pump,processing,day,S4,preventive,60.68,2181.2,53.4,391.02,0.9283,2.766,5.299,81.51,97.28,19101.0,21.05,1,98.779,2
152,compressor,utilities,day,S3,preventive,77.45,3283.6,126.18,404.69,0.8921,2.786,6.205,97.28,99.01,19103.6,56.85,1,99.315,2
153,compressor,utilities,day,S3,preventive,62.05,2789.4,82.84,408.23,0.9221,3.138,5.142,85.62,96.61,32530.3,103.54,2,97.708,3
154,pump,processing,day,S4,reactive,72.4,2368.5,72.31,391.48,0.8701,6.321,4.055,91.29,106.55,9927.0,304.54,1,96.896,3
155,conveyor,utilities,day,S3,preventive,56.88,997.0,44.42,385.11,0.914,2.209,5.291,81.88,89.15,19236.3,15.61,1,98.564,1
156,turbine,processing,day,S4,preventive,99.03,5836.5,334.35,399.73,0.9262,3.651,6.417,94.25,101.58,25005.9,45.6,1,97.83,2
157,turbine,utilities,night,S3,preventive,88.34,5264.6,256.04,395.18,0.9201,3.726,4.883,97.96,98.57,25001.5,55.62,0,97.996,2
158,compressor,assembly,night,S1,preventive,48.64,2611.3,68.11,399.89,0.9592,2.428,5.108,78.46,91.17,7554.3,58.05,0,99.454,2
159,compressor,packaging,evening,S2,preventive,49.16,2781.9,80.35,396.83,0.9453,3.281,6.097,82.64,90.85,28334.8,106.61,0,98.792,1
160,pump,assembly,day,S2,predictive,45.91,1954.7,32.54,420.24,0.9355,1.698,5.736,66.22,73.71,16641.4,32.18,0,99.057,1
161,pump,assembly,evening,S3,preventive,69.54,2139.5,46.56,404.96,0.9051,2.176,5.761,83.45,94.93,8872.3,8.93,0,98.953,1
162,conveyor,packaging,day,S2,reactive,37.1,670.8,25.21,390.34,0.9176,4.162,4.87,72.13,90.53,12417.8,98.49,0,98.526,2
163,compressor,processing,day,S1,preventive,103.85,3580.1,177.0,400.6,0.9161,2.817,5.489,101.47,108.18,14471.0,52.27,0,97.749,1
164,mixer,cold_storage,day,S2,reactive,79.44,1725.1,125.13,403.39,0.9261,2.52,5.052,84.42,90.5,4083.9,48.33,0,98.949,1
165,compressor,utilities,evening,S3,preventive,51.01,2401.4,67.45,396.52,0.965,2.211,6.066,85.74,94.68,22002.6,11.16,0,97.145,1
166,pump,utilities,day,S2,predictive,57.6,2287.0,52.01,366.0,0.9041,2.717,4.773,76.17,83.45,26186.1,29.21,0,99.287,1
167,mixer,utilities,evening,S1,reactive,81.86,1592.5,113.77,400.97,0.9157,3.692,4.43,98.16,109.67,11065.3,41.14,2,96.497,2
168,turbine,processing,evening,S4,preventive,94.65,5975.3,311.38,391.99,0.8421,4.357,5.302,103.19,120.6,9313.6,153.4,2,98.764,3
169,conveyor,utilities,day,S2,predictive,70.07,718.8,43.43,399.35,0.9038,2.089,5.34,76.59,79.54,8820.4,43.38,0,99.813,1
170,conveyor,assembly,day,S3,preventive,60.0,950.6,52.57,410.19,0.941,3.576,4.654,80.32,88.4,11180.1,184.43,0,98.618,1
171,compressor,assembly,night,S4,reactive,59.32,2990.3,95.68,401.84,0.9073,2.779,5.451,89.79,90.18,12662.3,102.04,1,98.77,1
172,turbine,cold_storage,day,S2,preventive,84.48,5631.0,264.48,398.45,0.9185,3.314,5.373,85.09,95.34,12752.7,43.01,1,98.981,3
173,turbine,packaging,evening,S2,preventive,70.0,5064.9,224.77,401.51,0.8509,2.624,,84.7,89.24,35817.7,50.59,1,98.481,1
174,turbine,utilities,day,S3,reactive,80.34,5390.3,243.05,390.66,0.8777,2.42,6.391,88.01,99.42,4003.7,48.42,1,98.737,2
175,conveyor,assembly,night,S3,predictive,39.96,783.3,33.67,394.46,0.8598,1.961,4.861,71.74,76.87,4580.6,21.07,1,100.0,1
176,conveyor,assembly,day,S3,preventive,78.38,1024.8,62.66,400.96,0.926,2.462,4.766,93.51,101.2,4534.0,56.22,2,98.566,2
177,turbine,utilities,day,S1,predictive,74.06,4626.7,204.6,408.86,0.9366,2.553,6.169,91.32,106.55,12305.2,13.74,0,98.0,1
178,mixer,processing,evening,S1,reactive,83.38,1707.1,145.57,388.33,0.906,3.001,5.323,93.88,94.59,11432.9,33.86,0,98.449,2
179,mixer,packaging,night,S2,preventive,44.42,1304.9,65.24,419.7,0.9313,1.923,5.468,67.28,76.76,10217.5,15.34,0,98.703,1
180,pump,packaging,night,S2,predictive,47.97,1537.8,28.16,410.35,0.948,3.223,4.992,74.2,84.6,10534.3,95.96,0,98.484,1
181,turbine,assembly,day,S2,reactive,72.74,4684.2,205.03,383.01,0.8661,2.976,5.388,80.36,85.5,7258.2,139.14,0,98.403,2
182,turbine,processing,day,S4,preventive,76.24,5186.7,233.02,404.32,0.9233,2.399,6.567,81.02,97.09,23705.7,10.11,2,98.492,2
183,turbine,packaging,evening,S1,reactive,71.93,5093.4,239.98,396.89,0.8978,2.609,6.506,87.24,104.5,11265.2,21.02,0,98.172,2
184,pump,packaging,night,S4,preventive,37.92,1812.7,30.96,407.3,0.9614,1.981,5.406,66.91,79.03,8168.4,70.79,0,99.143,1
185,compressor,packaging,day,S1,preventive,64.94,2734.7,87.68,367.91,0.9199,2.282,6.446,90.8,97.91,2533.3,45.58,0,99.374,1
